owner,repo_name,pull_number,url,state,revision_commit,revision_total_additions,revision_total_deletions,revision_total_change_lines,revision_file_change,Co-authored commits number,initial_total_additions,initial_total_deletions,initial_change_lines,initial_file_change
py-typedlogic,py-typedlogic,1,https://github.com/py-typedlogic/py-typedlogic/pull/1,MERGED,4,1924,1268,3192,98,0,6980,1096,8076,56
py-typedlogic,py-typedlogic,2,https://github.com/py-typedlogic/py-typedlogic/pull/2,MERGED,5,319,275,594,1,0,2790,1324,4114,63
pymc-devs,pytensor,918,https://github.com/pymc-devs/pytensor/pull/918,MERGED,10,67,26,93,2,0,0,0,0,0
pymc-devs,pytensor,966,https://github.com/pymc-devs/pytensor/pull/966,MERGED,6,12,9,21,0,0,1,1,2,1
pytorch,test-infra,6336,https://github.com/pytorch/test-infra/pull/6336,MERGED,1,1,1,2,0,0,56,0,56,1
qltysh,qlty,1281,https://github.com/qltysh/qlty/pull/1281,MERGED,1,5,5,10,5,0,859,5,864,4
qltysh,qlty,1992,https://github.com/qltysh/qlty/pull/1992,MERGED,1,1,0,1,0,0,26,25,51,6
renlabs-dev,torus-ts,130,https://github.com/renlabs-dev/torus-ts/pull/130,MERGED,14,6381,6094,12475,295,0,51,14,65,3
rishikanthc,Scriberr,47,https://github.com/rishikanthc/Scriberr/pull/47,MERGED,3,104,31,135,1,0,39,17,56,5
rollbar,rollbar.js,1169,https://github.com/rollbar/rollbar.js/pull/1169,MERGED,6,668,57,725,6,0,0,0,0,0
sakaiproject,sakai,12599,https://github.com/sakaiproject/sakai/pull/12599,MERGED,1,2,2,4,1,0,1,4,5,1
sakaiproject,sakai,12979,https://github.com/sakaiproject/sakai/pull/12979,MERGED,1,6,4,10,0,0,9,6,15,1
shopwareLabs,extension-verifier,19,https://github.com/shopwareLabs/extension-verifier/pull/19,MERGED,6,521,139,660,28,0,258,223,481,12
sourcegraph,cody,5156,https://github.com/sourcegraph/cody/pull/5156,MERGED,1,1,3,4,0,0,24,19,43,1
synapsecns,sanguine,2611,https://github.com/synapsecns/sanguine/pull/2611,MERGED,7,446,31,477,3,0,20407,17248,37655,78
synapsecns,sanguine,2637,https://github.com/synapsecns/sanguine/pull/2637,MERGED,1,1,0,1,1,0,3080,29,3109,29
synapsecns,sanguine,2901,https://github.com/synapsecns/sanguine/pull/2901,MERGED,4,5,10,15,0,0,18,0,18,6
thefrontside,effection,988,https://github.com/thefrontside/effection/pull/988,MERGED,1,2,3,5,0,0,25,4,29,2
tomakado,dumbql,5,https://github.com/tomakado/dumbql/pull/5,MERGED,3,50,9,59,1,0,18,10,28,1
tomakado,dumbql,6,https://github.com/tomakado/dumbql/pull/6,MERGED,1,2,3,5,0,0,3,0,3,1
umputun,tg-spam,195,https://github.com/umputun/tg-spam/pull/195,MERGED,1,21,5,26,1,0,15961,813,16774,162
utensils,mcp-nixos,1,https://github.com/utensils/mcp-nixos/pull/1,MERGED,6,3009,3252,6261,104,4,4970,5214,10184,38
utensils,mcp-nixos,5,https://github.com/utensils/mcp-nixos/pull/5,MERGED,2,27,11,38,2,2,1076,104,1180,13
utensils,mcp-nixos,7,https://github.com/utensils/mcp-nixos/pull/7,MERGED,6,1399,213,1612,15,6,1634,0,1634,41
utensils,mcp-nixos,8,https://github.com/utensils/mcp-nixos/pull/8,MERGED,17,686,1000,1686,15,7,2409,822,3231,14
yumemi-inc,Tart,36,https://github.com/yumemi-inc/Tart/pull/36,MERGED,3,89,60,149,4,0,0,0,0,0
yumemi-inc,Tart,66,https://github.com/yumemi-inc/Tart/pull/66,MERGED,5,159,603,762,20,0,0,0,0,0
yumemi-inc,Tart,69,https://github.com/yumemi-inc/Tart/pull/69,MERGED,6,226,25,251,8,0,32,0,32,3
yumemi-inc,Tart,75,https://github.com/yumemi-inc/Tart/pull/75,MERGED,2,39,40,79,0,0,207,0,207,1
zenml-io,zenml,2725,https://github.com/zenml-io/zenml/pull/2725,MERGED,1,2,1,3,0,0,8,1,9,1
